sample_code,site,year,all_alpha,all_beta,all_gamma,bact_alpha,bact_beta,bact_gamma,phyto_alpha,phyto_beta,phyto_gamma,zoo_alpha,zoo_beta,zoo_gamma,macro_alpha,macro_beta,macro_gamma,temp,ph,cond,chla,turb,do_mean,nh4,no,nitrogen,phosphorus,anchored_emergent,anchored_submerged_floating_leaves,free_floating,free_floating_submerged,mean_temp_12M,sd_temp_12M,deltaTemp,est_mean_temp_12M,pca1,pca2,x,y,local_x,local_y,Tmean_est_mean,TP_mean,TN_mean
PN_Mean_16,MD,Mean,152.33333333333334,2.0954827510540066,743,102,1.421036091706273,331,7.666666666666667,2.8496981298606703,114,12,1.8375592617612788,39,10.666666666666666,1.4243007152840563,78,2.7135582197808135,10.43,4.773758789613237,5.448031807790255,0.04393572901200323,4.402867366924672,0.42820953713341153,0.021759259689693184,0.36298780151510335,0.3846936546913988,0,0,0,0,2.406042002927862,2.1175187467194814,0.7028019636871159,2.423482301267193,0.5679558165461108,-3.3741656250480374,38.10537,-1.0338956666666668,6,9,2.4136152676281526,0.11344519700709986,0.13337717436578547
PN_Mean_19,MD,Mean,138.66666666666666,2.0954827510540066,743,81.33333333333333,1.421036091706273,331,11.333333333333334,2.8496981298606703,114,9,1.8375592617612788,39,10.666666666666666,1.4243007152840563,78,2.750183020458671,9.893333333333333,5.092826104201229,4.3804538295213895,0.007301860401479422,3.9818588703612314,0.10715076666827571,0.015193641609039008,0.09360685803998171,0.0660098153560959,3.952860131360351,0,0,0,2.406042002927862,2.1175187467194814,0.7230986156597311,2.4594334075801556,2.2899729316469295,-1.4488531122289043,38.10537,-1.0338956666666668,6,12,2.4136152676281526,0.11344519700709986,0.13337717436578547
PN_Mean_20,MD,Mean,143,2.0954827510540066,743,95.33333333333333,1.421036091706273,331,8.333333333333334,2.8496981298606703,114,8.666666666666666,1.8375592617612788,39,8.333333333333334,1.4243007152840563,78,2.6671015911025946,9.413333333333334,4.738264427487265,3.4339322173937723,0.004985229358881888,3.9666983871206463,0.027707218384664473,0.021902092181914943,0.026549812681826646,0.01607265127388183,2.8075903470873107,0,0,0,2.406042002927862,2.1175187467194814,0.6780829596937931,2.3780341008542494,2.9702442735676695,-0.9969158163230986,38.10537,-1.0338956666666668,9,0,2.4136152676281526,0.11344519700709986,0.13337717436578547
PN_Mean_23,MD,Mean,142,2.0954827510540066,743,85.66666666666667,1.421036091706273,331,10.666666666666666,2.8496981298606703,114,8,1.8375592617612788,39,12,1.4243007152840563,78,2.7089465750387096,9.5,5.010325845614261,3.592260535033746,0.004982261071864731,3.724131744605096,0.1796081038029854,0.027360689126860144,0.1567164520423526,0.07508151422844651,2.690878527883811,0,0,0,2.406042002927862,2.1175187467194814,0.7003050783085655,2.4189978275495996,2.3801516333684316,-1.2821449212725289,38.10537,-1.0338956666666668,9,6,2.4136152676281526,0.11344519700709986,0.13337717436578547
PN_Mean_24,MD,Mean,96,2.0954827510540066,743,45,1.421036091706273,331,9,2.8496981298606703,114,7.666666666666667,1.8375592617612788,39,13,1.4243007152840563,78,2.6985662321261743,9.983333333333334,4.711853613124137,4.047139319929919,0.024858287714386418,4.205324301267798,0.37816662325666783,0.04407893166483814,0.3249358124061306,0.11928693018154475,2.223070151663565,0,0,0,2.406042002927862,2.1175187467194814,0.6947702063042603,2.4088721279151217,1.6370581615377942,-2.2833142330857643,38.10537,-1.0338956666666668,9,12,2.4136152676281526,0.11344519700709986,0.13337717436578547
PN_Mean_25,MD,Mean,118.66666666666667,2.0954827510540066,743,53.333333333333336,1.421036091706273,331,8.666666666666666,2.8496981298606703,114,8.666666666666666,1.8375592617612788,39,11,1.4243007152840563,78,2.6610152383796195,10.136666666666667,4.726749600120209,3.1661762236745523,0.0036585277733396323,3.8106579424483296,0.024514699640457705,0.02156729947192555,0.023653381312312413,0.012752904039030089,2.759102850460234,0,0,0,2.406042002927862,2.1175187467194814,0.6748607039614934,2.3722848475044755,3.052025859269051,-1.2343364453411676,38.10537,-1.0338956666666668,12,0,2.4136152676281526,0.11344519700709986,0.13337717436578547
PN_Mean_27,MD,Mean,115.33333333333333,2.0954827510540066,743,61,1.421036091706273,331,8.333333333333334,2.8496981298606703,114,7,1.8375592617612788,39,11.333333333333334,1.4243007152840563,78,2.698740965590536,9.793333333333335,5.067065061077678,3.8935542155877543,0.004987211486041298,3.8638082630029893,0.09479096371532063,0.010257614222017486,0.08295136805471238,0.05580039993211753,4.395168898892158,0,0,0,2.406042002927862,2.1175187467194814,0.6947694464940958,2.4090074988800834,2.5659766042887875,-1.454158381344721,38.10537,-1.0338956666666668,12,6,2.4136152676281526,0.11344519700709986,0.13337717436578547
PN_Mean_28,MD,Mean,138.66666666666666,2.0954827510540066,743,82,1.421036091706273,331,12.333333333333334,2.8496981298606703,114,10,1.8375592617612788,39,11.666666666666666,1.4243007152840563,78,2.6893799220142824,9.456666666666665,5.2324689494075525,3.47491806285775,0.004323530667292102,3.5423040632216947,0.14576248468134181,0.024909238595747858,0.12512658962344747,0.05445319201847478,4.253880573391927,0,0,0,2.406042002927862,2.1175187467194814,0.6897300876906156,2.399837764790332,2.553558340916068,-1.2802313730698185,38.10537,-1.0338956666666668,12,12,2.4136152676281526,0.11344519700709986,0.13337717436578547
PN_Mean_30,MD,Mean,136.33333333333334,2.0954827510540066,743,77.33333333333333,1.421036091706273,331,11.333333333333334,2.8496981298606703,114,8.666666666666666,1.8375592617612788,39,14.333333333333334,1.4243007152840563,78,2.65369149385635,9.426666666666668,4.898167045449729,3.5960763769950987,0.006312922994629748,3.6838781919104666,0.06389030500667851,0.0082849282685335,0.05852186888990385,0.0879352411758535,2.3213979543633445,0,0,0,2.406042002927862,2.1175187467194814,0.6708263366662011,2.364945608274526,2.636609600033726,-1.362008072115304,38.10537,-1.0338956666666668,15,3,2.4136152676281526,0.11344519700709986,0.13337717436578547
PN_Mean_31,MD,Mean,98.66666666666667,2.0954827510540066,743,55.666666666666664,1.421036091706273,331,7.333333333333333,2.8496981298606703,114,11.666666666666666,1.8375592617612788,39,7,1.4243007152840563,78,2.7256606578360567,10.01,4.964009927428921,4.562011865928234,0.014219501940182148,3.8045190091889296,0.18795975261535633,0.04992925872978574,0.16214801297549106,0.1866151258592346,1.4719599267260186,0,0,0,2.406042002927862,2.1175187467194814,0.7096561243384901,2.4354198899944333,1.6637561281029682,-2.061300528036617,38.10537,-1.0338956666666668,15,9,2.4136152676281526,0.11344519700709986,0.13337717436578547
JC_Mean_01,JC,Mean,131,1.556556323379141,845,60,1.418980698080744,311,13.666666666666666,1.8175866979848887,159,12,1.5970036208767322,45,13.666666666666666,1.2233749752977898,91,2.6815003838770495,10.203333333333333,4.743182544959897,3.1980212161487462,0.002328847392401938,3.9389379300224214,0.011885237412011857,0.04511923089096462,0.019449717043611467,0.018044020424460145,2.9995511827671204,2.7321358345731444,0,2.8724747363747363,2.4501390888217287,2.0488452077487107,0.6501013890317727,2.3697044306683153,2.6562112038609773,-0.7257672075878053,42.506569,-0.6680996666666666,0,0,2.458915536007059,0.009148219513188035,0.05841584840202068
JC_Mean_03,JC,Mean,160.33333333333334,1.556556323379141,845,79.33333333333333,1.418980698080744,311,22.333333333333332,1.8175866979848887,159,12.333333333333334,1.5970036208767322,45,9,1.2233749752977898,91,2.784819255965696,10.576666666666666,4.868229430205432,3.1166634221116887,0.004651737164433091,3.902996410087157,0.026786629378575195,0.019148390906896826,0.02821115533297526,0.009909887143563197,4.0173212502227305,1.469992083985329,0,2.3098821518760553,2.4501390888217287,2.0488452077487107,0.7052278220178442,2.4719091457917166,2.5521834901873497,-0.5223950635365349,42.506569,-0.6680996666666666,0,6,2.458915536007059,0.009148219513188035,0.05841584840202068
JC_Mean_05,JC,Mean,166,1.556556323379141,845,94.66666666666667,1.418980698080744,311,15.666666666666666,1.8175866979848887,159,13,1.5970036208767322,45,10.333333333333334,1.2233749752977898,91,2.7588419979848133,10.6,4.7917152371421565,3.196992170866023,0.003989708459632189,3.928965424057638,0.0340654759357361,0.02889581262011616,0.03857629666990749,0.01743466115640951,3.3564104047773022,0,0,2.0047166605006526,2.4501390888217287,2.0488452077487107,0.6909343140457711,2.445942775904909,2.569746553152477,-0.7228252578882031,42.506569,-0.6680996666666666,0,12,2.458915536007059,0.009148219513188035,0.05841584840202068
JC_Mean_07,JC,Mean,165.66666666666666,1.556556323379141,845,87.66666666666667,1.418980698080744,311,22.666666666666668,1.8175866979848887,159,9,1.5970036208767322,45,9.666666666666666,1.2233749752977898,91,2.7173766738723564,9.996666666666668,4.720536529319178,3.2534938295448277,0.006637852145810819,3.894939932238351,0.09025958768950314,0.03237690115440787,0.07869542814096821,0.016399550718474844,2.80642594317556,0.9498537899183338,0,3.045762083069961,2.4501390888217287,2.0488452077487107,0.6687159627751095,2.4045279818512744,2.471644763537725,-0.6837412235715458,42.506569,-0.6680996666666666,3,0,2.458915536007059,0.009148219513188035,0.05841584840202068
JC_Mean_09,JC,Mean,175,1.556556323379141,845,95.66666666666667,1.418980698080744,311,21.666666666666668,1.8175866979848887,159,10.666666666666666,1.5970036208767322,45,11.666666666666666,1.2233749752977898,91,2.7119859849013026,9.453333333333333,4.838453647257993,3.249685119029022,0.004645814344696915,3.923218462098532,0.03821552217331552,0.013896103453433997,0.03848308260805993,0.011552155551883443,2.8209210385283257,0.570574758954123,0,0,2.4501390888217287,2.0488452077487107,0.6662750959107231,2.3986036438463745,2.6175990133230043,-0.5132667501472531,42.506569,-0.6680996666666666,3,6,2.458915536007059,0.009148219513188035,0.05841584840202068
JC_Mean_11,JC,Mean,179.33333333333334,1.556556323379141,845,100,1.418980698080744,311,22.666666666666668,1.8175866979848887,159,11,1.5970036208767322,45,10,1.2233749752977898,91,2.773966567241365,10.200000000000001,5.261175740581727,3.195157052070097,0.0033263543712199494,3.005349545870469,0.08823526390695391,0.01682775953777799,0.07900926636998086,0.011230020882262173,4.888938339451251,0,0,0,2.4501390888217287,2.0488452077487107,0.699326029106004,2.461240514360895,2.513738764656924,-0.6165402096596408,42.506569,-0.6680996666666666,3,12,2.458915536007059,0.009148219513188035,0.05841584840202068
JC_Mean_13,JC,Mean,165.33333333333334,1.556556323379141,845,93.33333333333333,1.418980698080744,311,19.666666666666668,1.8175866979848887,159,10,1.5970036208767322,45,10,1.2233749752977898,91,2.796045751565383,10.156666666666666,4.608714391606428,3.0614310527826514,0.00332437224406054,3.9230440212378905,0.038816270881082304,0.026183952816117993,0.036158607648356704,0.014083577795542576,3.279476123071728,8.515666920300067,0,0,2.4501390888217287,2.0488452077487107,0.7107733275047495,2.482169228892253,2.245602482023681,-0.3112765908301181,42.506569,-0.6680996666666666,6,3,2.458915536007059,0.009148219513188035,0.05841584840202068
