taxa;domain;kingdom;phylum;class;order;family;genus;species;source;group;id_level
Acanthocyclops robustus_acrob_c;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Acanthocyclops;Acanthocyclops robustus;Morphological;zooplankton;species
Acanthocyclops robustus_acrob_n;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Acanthocyclops;Acanthocyclops robustus;Morphological;zooplankton;species
Cyclops abyssorum_cyaby_a;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Cyclops;Cyclops abyssorum;Morphological;zooplankton;species
Cyclops abyssorum_cyaby_c;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Cyclops;Cyclops abyssorum;Morphological;zooplankton;species
Cyclops abyssorum_cyaby_n;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Cyclops;Cyclops abyssorum;Morphological;zooplankton;species
Eucyclops serrulatus_euser_a;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Eucyclops;Eucyclops serrulatus;Morphological;zooplankton;species
Eucyclops serrulatus_euser_c;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Eucyclops;Eucyclops serrulatus;Morphological;zooplankton;species
Eucyclops serrulatus_euser_n;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Eucyclops;Eucyclops serrulatus;Morphological;zooplankton;species
Metacyclops minutus_memin_a;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Metacyclops;Metacyclops minutus;Morphological;zooplankton;species
Metacyclops minutus_memin_c;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Metacyclops;Metacyclops minutus;Morphological;zooplankton;species
Metacyclops minutus_memin_n;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Metacyclops;Metacyclops minutus;Morphological;zooplankton;species
Tropocyclops prasinus_trpra_a;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Tropocyclops;Tropocyclops prasinus;Morphological;zooplankton;species
Tropocyclops prasinus_trpra_c;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Tropocyclops;Tropocyclops prasinus;Morphological;zooplankton;species
Tropocyclops prasinus_trpra_n;Eukaryota;Animalia;Arthropoda;Copepoda;Cyclopoida;Cyclopidae;Tropocyclops;Tropocyclops prasinus;Morphological;zooplankton;species
Centropagidae ;Eukaryota;Animalia;Arthropoda;Hexanauplia;Calanoida;Centropagidae ;NA;NA;eDNA;zooplankton;family
Hexanauplia;Eukaryota;Animalia;Arthropoda;Hexanauplia;NA;NA;NA;NA;eDNA;zooplankton;class
Macrocyclops albidus;Eukaryota;Animalia;Arthropoda;Hexanauplia;Cyclopoida;Cyclopidae;Macrocyclops;Macrocyclops albidus;eDNA;zooplankton;species
Aeshna;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Aeshnidae;Aeshna;NA;Morphological;macroinvertebrates;genus
Anax ephippiger;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Aeshnidae;Anax;Anax ephippiger;Morphological;macroinvertebrates;species
Anax parthenope;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Aeshnidae;Anax;Anax parthenope;Morphological;macroinvertebrates;species
Anthomyiidae;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Anthomyiidae;NA;NA;Morphological;macroinvertebrates;family
Aphelocheirus aestivalis;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Aphelocheiridae;Aphelocheirus;Aphelocheirus aestivalis;Morphological;macroinvertebrates;species
Brachythemis leucosticta;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Brachythemis;Brachythemis leucosticta;Morphological;macroinvertebrates;species
Caenis luctuosa;Eukaryota;Animalia;Arthropoda;Insecta;Ephemeroptera;Caenidae;Caenis;Caenis luctuosa;Morphological;macroinvertebrates;species
Chalcolestes viridis;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Lestidae;Chalcolestes;Chalcolestes viridis;Morphological;macroinvertebrates;species
Chrysomelidae;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Chrysomelidae;NA;NA;Morphological;macroinvertebrates;family
Cloeon dipterum;Eukaryota;Animalia;Arthropoda;Insecta;Ephemeroptera;Baetidae;Cloeon;Cloeon dipterum;Morphological;macroinvertebrates;species
Coenagrion puella;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Coenagrionidae;Coenagrion;Coenagrion puella;Morphological;macroinvertebrates;species
Cordulegaster boltonii;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Cordulegastridae;Cordulegaster;Cordulegaster boltonii;Morphological;macroinvertebrates;species
Curculionidae;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;NA;NA;Morphological;macroinvertebrates;family
Diplacodes lefebvrei;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Diplacodes;Diplacodes lefebvrei;Morphological;macroinvertebrates;species
Diptera;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;NA;NA;NA;Morphological;macroinvertebrates;order
Ecnomus;Eukaryota;Animalia;Arthropoda;Insecta;Trichoptera;Ecnomidae;Ecnomus;NA;Morphological;macroinvertebrates;genus
Ephydridae;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Ephydridae;NA;NA;Morphological;macroinvertebrates;family
Glyphotaelius pellucidus;Eukaryota;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Glyphotaelius;Glyphotaelius pellucidus;Morphological;macroinvertebrates;species
Hydrometra stagnorum;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Hydrometridae;Hydrometra;Hydrometra stagnorum;Morphological;macroinvertebrates;species
Ischnura pumilio;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Coenagrionidae;Ischnura;Ischnura pumilio;Morphological;macroinvertebrates;species
Lestes barbarus;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Lestidae;Lestes;Lestes barbarus;Morphological;macroinvertebrates;species
Lestes dryas;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Lestidae;Lestes;Lestes dryas;Morphological;macroinvertebrates;species
Lestes virens;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Lestidae;Lestes;Lestes virens;Morphological;macroinvertebrates;species
Libellula depressa;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Libellula;Libellula depressa;Morphological;macroinvertebrates;species
Libellula quadrimaculata;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Libellula;Libellula quadrimaculata;Morphological;macroinvertebrates;species
Limoniidae;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Limoniidae;NA;NA;Morphological;macroinvertebrates;family
Mesovelia vittigera;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Mesoveliidae;Mesovelia;Mesovelia vittigera;Morphological;macroinvertebrates;species
Micronecta;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Corixidae;Micronecta;NA;Morphological;macroinvertebrates;genus
Microvelia;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Veliidae;Microvelia;NA;Morphological;macroinvertebrates;genus
Naucoris maculatus;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Naucoridae;Naucoris;Naucoris maculatus;Morphological;macroinvertebrates;species
Orthetrum albistylum;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Orthetrum;Orthetrum albistylum;Morphological;macroinvertebrates;species
Orthetrum cancellatum;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Orthetrum;Orthetrum cancellatum;Morphological;macroinvertebrates;species
Orthetrum nitidinerve;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Orthetrum;Orthetrum nitidinerve;Morphological;macroinvertebrates;species
Plea minutissima;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Pleidae;Plea;Plea minutissima;Morphological;macroinvertebrates;species
Pyrrhosoma nymphula;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Coenagrionidae;Pyrrhosoma;Pyrrhosoma nymphula;Morphological;macroinvertebrates;species
Sciomyzidae;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Sciomyzidae;NA;NA;Morphological;macroinvertebrates;family
Sialis;Eukaryota;Animalia;Arthropoda;Insecta;Megaloptera;Sialidae;Sialis;NA;Morphological;macroinvertebrates;genus
Stratiomys longicornis;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Stratiomyidae;Stratiomys;Stratiomys longicornis;Morphological;macroinvertebrates;species
Sympetrum flaveolum;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;Sympetrum flaveolum;Morphological;macroinvertebrates;species
Sympetrum fonscolombii;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;Sympetrum fonscolombii;Morphological;macroinvertebrates;species
Sympetrum meridionale;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;Sympetrum meridionale;Morphological;macroinvertebrates;species
Sympetrum sanguineum;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;Sympetrum sanguineum;Morphological;macroinvertebrates;species
Sympetrum striolatum;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;Sympetrum striolatum;Morphological;macroinvertebrates;species
Sympetrum vulgatum;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Sympetrum;Sympetrum vulgatum;Morphological;macroinvertebrates;species
Tabanidae;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Tabanidae;NA;NA;Morphological;macroinvertebrates;family
Aedes ochlerotatus_aedoch_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Culicidae;Aedes;Aedes ochlerotatus;Morphological;macroinvertebrates;species
Aedes ochlerotatus_aedoch_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Culicidae;Aedes;Aedes ochlerotatus;Morphological;macroinvertebrates;species
Agabus bipustulatus_agabip_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Agabus;Agabus bipustulatus;Morphological;macroinvertebrates;species
Agabus_agabus_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Agabus;NA;Morphological;macroinvertebrates;genus
Agabus nebulosus_aganeb_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Agabus;Agabus nebulosus;Morphological;macroinvertebrates;species
Anacaena globulus_anaglo_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Anacaena;Anacaena globulus;Morphological;macroinvertebrates;species
Anacaena limbata_analim_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Anacaena;Anacaena limbata;Morphological;macroinvertebrates;species
Anopheles maculipennis_anomac_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Culicidae;Anopheles;Anopheles maculipennis;Morphological;macroinvertebrates;species
Berosus_berosu_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Berosus;NA;Morphological;macroinvertebrates;genus
Berosus signaticollis_bersig_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Berosus;Berosus signaticollis;Morphological;macroinvertebrates;species
Chaoborus flavicans_chafla_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chaoboridae;Chaoborus;Chaoborus flavicans;Morphological;macroinvertebrates;species
Chaoborus_chaobo_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chaoboridae;Chaoborus;NA;Morphological;macroinvertebrates;genus
Chironomus_chiron_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;NA;Morphological;macroinvertebrates;genus
Chironomus_chiron_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;NA;Morphological;macroinvertebrates;genus
Colymbetes_colymb_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Colymbetes;NA;Morphological;macroinvertebrates;genus
Copelatus_copela_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Copelatus;NA;Morphological;macroinvertebrates;genus
Corixa_corixa_a;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Corixidae;Corixa;NA;Morphological;macroinvertebrates;genus
Corixa_corixa_l;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Corixidae;Corixa;NA;Morphological;macroinvertebrates;genus
Corynoneura_coryno_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Corynoneura;NA;Morphological;macroinvertebrates;genus
Corynoneura_coryno_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Corynoneura;NA;Morphological;macroinvertebrates;genus
Crocothemis_croery_dif;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Crocothemis;NA;Morphological;macroinvertebrates;genus
Culex_culex_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culex;NA;Morphological;macroinvertebrates;genus
Culicidae_culici_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Culicidae;NA;NA;Morphological;macroinvertebrates;family
Culicidae_culici_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Culicidae;NA;NA;Morphological;macroinvertebrates;family
Dasyhelea_dasyhe_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Ceratopogonidae;Dasyhelea;NA;Morphological;macroinvertebrates;genus
Dasyhelea_dasyhe_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Ceratopogonidae;Dasyhelea;NA;Morphological;macroinvertebrates;genus
Dixa_dixa_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Dixidae;Dixa;NA;Morphological;macroinvertebrates;genus
Dixa_dixa_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Dixidae;Dixa;NA;Morphological;macroinvertebrates;genus
Dorytomus longimanus_dorlon_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Dorytomus;Dorytomus longimanus;Morphological;macroinvertebrates;species
Dryops_dryops_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dryopidae;Dryops;NA;Morphological;macroinvertebrates;genus
Dryops_dryops_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dryopidae;Dryops;NA;Morphological;macroinvertebrates;genus
Dytiscus_dytisc_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Dytiscus;NA;Morphological;macroinvertebrates;genus
Enochrus_enochr_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Enochrus;NA;Morphological;macroinvertebrates;genus
Enochrus_enochr_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Enochrus;NA;Morphological;macroinvertebrates;genus
Graptodytes aequalis_graaeq_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Graptodytes;Graptodytes aequalis;Morphological;macroinvertebrates;species
Haliplus_halipl_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Haliplidae;Haliplus;NA;Morphological;macroinvertebrates;genus
Helochares_heloch_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Helochares;NA;Morphological;macroinvertebrates;genus
Helophorus_heloph_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Helophorus;NA;Morphological;macroinvertebrates;genus
Helochares punctatus_helpun_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Helochares;Helochares punctatus;Morphological;macroinvertebrates;species
Hemerobiidae_hemero_l;Eukaryota;Animalia;Arthropoda;Insecta;Neuroptera;Hemerobiidae;NA;NA;Morphological;macroinvertebrates;family
Hydroglyphus geminus_hydgem_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroglyphus;Hydroglyphus geminus;Morphological;macroinvertebrates;species
Hydrobius_hydrob_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Hydrobius;NA;Morphological;macroinvertebrates;genus
Hydrochus_hydroc_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Hydrochus;NA;Morphological;macroinvertebrates;genus
Hydroporus_hydrop_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroporus;NA;Morphological;macroinvertebrates;genus
Hydroporus_hydrop_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroporus;NA;Morphological;macroinvertebrates;genus
Hydrophilus_hydroph_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Hydrophilus;NA;Morphological;macroinvertebrates;genus
Hygrobia hermanni_hygher_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hygrobiidae;Hygrobia;Hygrobia hermanni;Morphological;macroinvertebrates;species
Hygrotus_hygrot_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hygrotus;NA;Morphological;macroinvertebrates;genus
Hyphydrus_hyphyd_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hyphydrus;NA;Morphological;macroinvertebrates;genus
Ilybius_ilybiu_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Ilybius;NA;Morphological;macroinvertebrates;genus
Ilybius_ilybiu_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Ilybius;NA;Morphological;macroinvertebrates;genus
Laccobius_laccob_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Laccobius;NA;Morphological;macroinvertebrates;genus
Laccobius_laccob_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Laccobius;NA;Morphological;macroinvertebrates;genus
Laccophilus_laccop_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Laccophilus;NA;Morphological;macroinvertebrates;genus
Limnebius_limneb_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydraenidae;Limnebius;NA;Morphological;macroinvertebrates;genus
Macronychus quadrituberculatus_macqua_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Elmidae;Macronychus;Macronychus quadrituberculatus;Morphological;macroinvertebrates;species
Meladema coriacea_melcor_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Meladema;Meladema coriacea;Morphological;macroinvertebrates;species
Meladema coriacea_melcor_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Meladema;Meladema coriacea;Morphological;macroinvertebrates;species
Micropsectra_microp_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Micropsectra;NA;Morphological;macroinvertebrates;genus
Micropsectra_microp_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Micropsectra;NA;Morphological;macroinvertebrates;genus
Nebrioporus_nebrio_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Nebrioporus;NA;Morphological;macroinvertebrates;genus
Neoculex territans_neoter_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Culicidae;Neoculex;Neoculex territans;Morphological;macroinvertebrates;species
Normandia_norman_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Elmidae;Normandia;NA;Morphological;macroinvertebrates;genus
Ochthebius_ochthe_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydraenidae;Ochthebius;NA;Morphological;macroinvertebrates;genus
Chironomidae_orthoc_orthoc_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae_orthoc;NA;NA;Morphological;macroinvertebrates;family
Chironomidae_orthoc_orthoc_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae_orthoc;NA;NA;Morphological;macroinvertebrates;family
Oulimnius_oulimn_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Elmidae;Oulimnius;NA;Morphological;macroinvertebrates;genus
Ceratopogonidae_palpom_palpom_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Ceratopogonidae_palpom;NA;NA;Morphological;macroinvertebrates;family
Ceratopogonidae_palpom_palpom_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Ceratopogonidae_palpom;NA;NA;Morphological;macroinvertebrates;family
Platambus_platam_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Platambus;NA;Morphological;macroinvertebrates;genus
Pomatinus substriatus_pomsub_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dryopidae;Pomatinus;Pomatinus substriatus;Morphological;macroinvertebrates;species
Potamophilus acuminatus_potacu_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Elmidae;Potamophilus;Potamophilus acuminatus;Morphological;macroinvertebrates;species
Riolus_riolus_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Elmidae;Riolus;NA;Morphological;macroinvertebrates;genus
Scarodytes halensis_scahal_a;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Scarodytes;Scarodytes halensis;Morphological;macroinvertebrates;species
Serromyia_serrom_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Ceratopogonidae;Serromyia;NA;Morphological;macroinvertebrates;genus
Sigara_sigara_a;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Corixidae;Sigara;NA;Morphological;macroinvertebrates;genus
Sigara_sigara_l;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Corixidae;Sigara;NA;Morphological;macroinvertebrates;genus
Ceratopogonidae_sphaer_sphaer_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Ceratopogonidae_sphaer;NA;NA;Morphological;macroinvertebrates;family
Stictonectes_sticto_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Stictonectes;NA;Morphological;macroinvertebrates;genus
Chironomidae_tanypo_tanypo_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae_tanypo;NA;NA;Morphological;macroinvertebrates;family
Chironomidae_tanypo_tanypo_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae_tanypo;NA;NA;Morphological;macroinvertebrates;family
Tanytarsus_tanyta_l;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Tanytarsus;NA;Morphological;macroinvertebrates;genus
Tanytarsus_tanyta_n;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Tanytarsus;NA;Morphological;macroinvertebrates;genus
Yola bicarinata_yolbic_l;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Yola;Yola bicarinata;Morphological;macroinvertebrates;species
Anacaena lutescens;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Anacaena;Anacaena lutescens;eDNA;macroinvertebrates;species
Centroptilum;Eukaryota;Animalia;Arthropoda;Insecta;Ephemeroptera;Baetidae;Centroptilum;NA;eDNA;macroinvertebrates;genus
Cercyon quisquilius;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Cercyon;Cercyon quisquilius;eDNA;macroinvertebrates;species
Chaetocladius melaleucus;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Chaetocladius;Chaetocladius melaleucus;eDNA;macroinvertebrates;species
Chironomidae;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;NA;NA;eDNA;macroinvertebrates;family
Chironomus aprilinus;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;Chironomus aprilinus;eDNA;macroinvertebrates;species
Chironomus luridus;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;Chironomus luridus;eDNA;macroinvertebrates;species
Chironomus pseudothummi;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;Chironomus pseudothummi;eDNA;macroinvertebrates;species
Chironomus riparius;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;Chironomus riparius;eDNA;macroinvertebrates;species
Chironomus transvaalensis;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;Chironomus transvaalensis;eDNA;macroinvertebrates;species
Culex hayashii;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culex;Culex hayashii;eDNA;macroinvertebrates;species
Culex hortensis;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culex;Culex hortensis;eDNA;macroinvertebrates;species
Culex modestus;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culex;Culex modestus;eDNA;macroinvertebrates;species
Culicoides circumscriptus;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Ceratopogonidae;Culicoides;Culicoides circumscriptus;eDNA;macroinvertebrates;species
Culiseta longiareolata;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Culicidae;Culiseta;Culiseta longiareolata;eDNA;macroinvertebrates;species
Gerris gibbifer;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Gerridae;Gerris;Gerris gibbifer;eDNA;macroinvertebrates;species
Graptodytes castilianus;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Graptodytes;Graptodytes castilianus;eDNA;macroinvertebrates;species
Gymnometriocnemus;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Gymnometriocnemus;NA;eDNA;macroinvertebrates;genus
Helochares lividus;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Hydrophilidae;Helochares;Helochares lividus;eDNA;macroinvertebrates;species
Hydroporus pubescens;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Hydroporus;Hydroporus pubescens;eDNA;macroinvertebrates;species
Ilybius chalconatus;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Ilybius;Ilybius chalconatus;eDNA;macroinvertebrates;species
Notonecta maculata;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Notonectidae;Notonecta;Notonecta maculata;eDNA;macroinvertebrates;species
Paratanytarsus;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Paratanytarsus;NA;eDNA;macroinvertebrates;genus
Polypedilum nubifer;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Polypedilum;Polypedilum nubifer;eDNA;macroinvertebrates;species
Rhantus suturalis;Eukaryota;Animalia;Arthropoda;Insecta;Coleoptera;Dytiscidae;Rhantus;Rhantus suturalis;eDNA;macroinvertebrates;species
Sigara nigrolineata;Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Corixidae;Sigara;Sigara nigrolineata;eDNA;macroinvertebrates;species
Tanytarsus ejuncidus;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Tanytarsus;Tanytarsus ejuncidus;eDNA;macroinvertebrates;species
Tanytarsus formosanus;Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Tanytarsus;Tanytarsus formosanus;eDNA;macroinvertebrates;species
Ladona depressa;Eukaryota;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Ladona;Ladona depressa;eDNA;macroinvertebrates;species
