scale;predictor;year;group;AIC_linear;BIC_linear;sig_linear;AIC_quad;BIC_quad;sig_quad;delta_AIC;delta_BIC;model_decision
alpha;tmean;2017;bact;1029.7;1037.58;ns;1029.41;1039.91;ns;0.29;-2.34;none
alpha;tmean;2017;phyto;682.39;690.27;ns;683.31;693.81;ns;-0.92;-3.54;none
alpha;tmean;2017;zoo;583.83;591.7;ns;585.37;595.87;ns;-1.54;-4.17;none
alpha;tmean;2017;macro;549.54;557.41;ns;550.63;561.13;ns;-1.09;-3.71;none
alpha;tmean;2018;wc;1030.41;1038.28;ns;1032.37;1042.87;ns;-1.96;-4.58;none
alpha;tmean;2018;bact;1017.38;1025.25;ns;1019.16;1029.66;ns;-1.78;-4.4;none
alpha;tmean;2018;phyto;697.82;705.7;ns;695.84;706.34;ns;1.98;-0.65;none
alpha;tmean;2018;zoo;582.37;590.24;ns;559.66;570.15;***;22.71;20.09;quadratic
alpha;tmean;2018;macro;562.77;570.65;ns;564.56;575.06;ns;-1.79;-4.42;none
alpha;tsd;mean;wc;914.78;922.66;***;916.13;926.63;***;-1.35;-3.98;linear
alpha;tsd;mean;bact;911.39;919.27;*;913.38;923.88;ns;-1.99;-4.62;linear
alpha;tsd;mean;phyto;620.5;628.37;***;621.69;632.19;***;-1.19;-3.82;linear
alpha;tsd;mean;zoo;473.37;481.24;***;470.95;481.45;***;2.42;-0.2;quadratic
alpha;tsd;mean;macro;444.92;452.8;***;445.48;455.98;***;-0.56;-3.18;linear
alpha;tsd;2016;wc;958.56;966.43;**;956.67;967.17;**;1.89;-0.74;tie
alpha;tsd;2016;bact;935.13;943.01;ns;937.13;947.63;ns;-2;-4.62;none
alpha;tsd;2016;phyto;689.92;697.79;**;691.58;702.08;**;-1.66;-4.29;linear
alpha;tsd;2016;zoo;537.12;545;ns;516.98;527.48;***;20.14;17.52;quadratic
alpha;tsd;2016;macro;529.1;536.98;ns;531;541.5;ns;-1.9;-4.52;none
alpha;tsd;2017;wc;1024.16;1032.03;***;1024.93;1035.43;***;-0.77;-3.4;linear
alpha;tsd;2017;bact;1017.46;1025.34;***;1013.1;1023.6;***;4.36;1.74;quadratic
alpha;tsd;2017;phyto;681.05;688.92;ns;653.68;664.18;***;27.37;24.74;quadratic
alpha;tsd;2017;zoo;557.87;565.75;***;558.61;569.11;***;-0.74;-3.36;linear
alpha;tsd;2017;macro;545.76;553.64;ns;540.61;551.11;**;5.15;2.52;quadratic
alpha;tsd;2018;wc;1031.1;1038.97;ns;1031.99;1042.49;ns;-0.89;-3.52;none
alpha;tsd;2018;bact;1018.1;1025.97;ns;1017.16;1027.66;ns;0.94;-1.69;none
alpha;tsd;2018;phyto;677.85;685.73;***;679.19;689.69;***;-1.34;-3.97;linear
alpha;tsd;2018;zoo;547.23;555.1;***;539.24;549.74;***;7.99;5.37;quadratic
alpha;tsd;2018;macro;527.91;535.78;***;529.35;539.85;***;-1.44;-4.07;linear
beta;tmean;mean;wc;208.36;216.23;ns;210.21;220.71;ns;-1.85;-4.48;none
beta;tmean;mean;bact;253.3;261.18;ns;254.82;265.32;ns;-1.52;-4.14;none
beta;tmean;mean;phyto;374.73;382.6;ns;375.09;385.59;ns;-0.36;-2.99;none
beta;tmean;mean;zoo;211.11;218.99;ns;213;223.5;ns;-1.89;-4.52;none
