"model_name","model_type","scale","group","year","predictor","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","sig"
"qd_beta_macro_2017_tmean","qd","beta","macro","2017","tmean",0.02,0,4.71,0.97,0.38,2,-301.32,610.64,621.14,2198.13,99,102,"ns"
"qd_beta_macro_2017_tsd","qd","beta","macro","2017","tsd",0.07,0.05,4.59,3.71,0.03,2,-298.62,605.25,615.74,2084.82,99,102,"*"
"qd_beta_macro_2018_tmean","qd","beta","macro","2018","tmean",0.06,0.05,8.01,3.39,0.04,2,-355.39,718.79,729.29,6346.13,99,102,"*"
"qd_beta_macro_2018_tsd","qd","beta","macro","2018","tsd",0.12,0.11,7.75,7.01,0,2,-352.02,712.03,722.53,5939.44,99,102,"**"
"qd_beta_macro_mean_tmean","qd","beta","macro","mean","tmean",0.03,0.01,2.01,1.52,0.22,2,-214.65,437.3,447.8,401.8,99,102,"ns"
"qd_beta_macro_mean_tsd","qd","beta","macro","mean","tsd",0.02,0,2.02,1.25,0.29,2,-214.93,437.85,448.35,403.97,99,102,"ns"
"qd_beta_phyto_2016_tmean","qd","beta","phyto","2016","tmean",0.05,0.04,5.01,2.85,0.06,2,-307.48,622.95,633.45,2480.04,99,102,"ns"
"qd_beta_phyto_2016_tsd","qd","beta","phyto","2016","tsd",0,-0.02,5.14,0.19,0.83,2,-310.14,628.28,638.78,2613.04,99,102,"ns"
"qd_beta_phyto_2017_tmean","qd","beta","phyto","2017","tmean",0,-0.02,8.45,0.12,0.89,2,-360.86,729.72,740.22,7063.89,99,102,"ns"
"qd_beta_phyto_2017_tsd","qd","beta","phyto","2017","tsd",0.19,0.17,7.63,11.32,0,2,-350.48,708.96,719.46,5763.16,99,102,"***"
"qd_beta_phyto_2018_tmean","qd","beta","phyto","2018","tmean",0.03,0.01,11.72,1.43,0.24,2,-394.27,796.53,807.03,13599.43,99,102,"ns"
"qd_beta_phyto_2018_tsd","qd","beta","phyto","2018","tsd",0.01,-0.01,11.81,0.67,0.52,2,-395.04,798.08,808.58,13807.11,99,102,"ns"
"qd_beta_phyto_mean_tmean","qd","beta","phyto","mean","tmean",0.01,-0.01,3.52,0.4,0.67,2,-271.66,551.32,561.82,1228.74,99,102,"ns"
"qd_beta_phyto_mean_tsd","qd","beta","phyto","mean","tsd",0.04,0.02,3.46,2.29,0.11,2,-269.76,547.53,558.03,1183.94,99,102,"ns"
"qd_beta_wc_2016_tmean","qd","beta","wc","2016","tmean",0.16,0.14,1.26,9.2,0,2,-166.55,341.11,351.61,156.47,99,102,"***"
"qd_beta_wc_2016_tsd","qd","beta","wc","2016","tsd",0.01,-0.01,1.36,0.73,0.48,2,-174.5,357,367.5,182.84,99,102,"ns"
"qd_beta_wc_2017_tmean","qd","beta","wc","2017","tmean",0.09,0.07,2.27,5.03,0.01,2,-226.96,461.93,472.43,511.52,99,102,"**"
"qd_beta_wc_2017_tsd","qd","beta","wc","2017","tsd",0.02,0,2.36,1.17,0.32,2,-230.72,469.43,479.93,550.57,99,102,"ns"
"qd_beta_wc_2018_tmean","qd","beta","wc","2018","tmean",0.05,0.04,2.1,2.86,0.06,2,-219.09,446.17,456.67,438.3,99,102,"ns"
"qd_beta_wc_2018_tsd","qd","beta","wc","2018","tsd",0.02,0,2.14,1.19,0.31,2,-220.74,449.48,459.98,452.74,99,102,"ns"
"qd_beta_wc_mean_tmean","qd","beta","wc","mean","tmean",0.05,0.03,0.99,2.47,0.09,2,-141.93,291.86,302.36,96.55,99,102,"ns"
"qd_beta_wc_mean_tsd","qd","beta","wc","mean","tsd",0.1,0.08,0.96,5.3,0.01,2,-139.22,286.44,296.94,91.56,99,102,"**"
"qd_beta_zoo_2016_tmean","qd","beta","zoo","2016","tmean",0.08,0.06,1.79,4.26,0.02,2,-202.73,413.46,423.96,318.04,99,102,"*"
"qd_beta_zoo_2016_tsd","qd","beta","zoo","2016","tsd",0.04,0.02,1.83,2.17,0.12,2,-204.75,417.51,428.01,330.92,99,102,"ns"
"qd_beta_zoo_2017_tmean","qd","beta","zoo","2017","tmean",0.02,0,3.16,1.11,0.33,2,-260.46,528.92,539.42,986.49,99,102,"ns"
"qd_beta_zoo_2017_tsd","qd","beta","zoo","2017","tsd",0.09,0.07,3.05,4.76,0.01,2,-256.91,521.82,532.32,920.14,99,102,"*"
"qd_beta_zoo_2018_tmean","qd","beta","zoo","2018","tmean",0.13,0.12,1.85,7.57,0,2,-205.96,419.93,430.43,338.87,99,102,"***"
"qd_beta_zoo_2018_tsd","qd","beta","zoo","2018","tsd",0.14,0.12,1.85,7.76,0,2,-205.79,419.59,430.09,337.73,99,102,"***"
"qd_beta_zoo_mean_tmean","qd","beta","zoo","mean","tmean",0.24,0.23,1.01,15.73,0,2,-144.68,297.37,307.87,101.9,99,102,"***"
"qd_beta_zoo_mean_tsd","qd","beta","zoo","mean","tsd",0.16,0.14,1.07,9.47,0,2,-149.82,307.64,318.14,112.71,99,102,"***"
