"model_name","model_type","scale","group","year","predictor","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","sig"
"lm_beta_wc_2017_tsd","lm","beta","wc","2017","tsd",0.02,0.01,2.35,1.97,0.16,1,-230.91,467.82,475.69,552.63,100,102,"ns"
"lm_beta_wc_2018_tmean","lm","beta","wc","2018","tmean",0.05,0.04,2.1,5.18,0.02,1,-219.37,444.74,452.62,440.77,100,102,"*"
"lm_beta_wc_2018_tsd","lm","beta","wc","2018","tsd",0.01,0,2.14,1.35,0.25,1,-221.26,448.53,456.4,457.43,100,102,"ns"
"lm_beta_wc_mean_tmean","lm","beta","wc","mean","tmean",0.01,0,1,1.25,0.27,1,-143.78,293.55,301.43,100.11,100,102,"ns"
"lm_beta_wc_mean_tsd","lm","beta","wc","mean","tsd",0,-0.01,1.01,0,0.96,1,-144.41,294.82,302.69,101.36,100,102,"ns"
"lm_beta_zoo_2016_tmean","lm","beta","zoo","2016","tmean",0.08,0.07,1.79,8.32,0,1,-202.87,411.73,419.61,318.89,100,102,"**"
"lm_beta_zoo_2016_tsd","lm","beta","zoo","2016","tsd",0.01,0,1.85,0.95,0.33,1,-206.46,418.92,426.8,342.18,100,102,"ns"
"lm_beta_zoo_2017_tmean","lm","beta","zoo","2017","tmean",0,-0.01,3.17,0.32,0.57,1,-261.42,528.85,536.72,1005.3,100,102,"ns"
"lm_beta_zoo_2017_tsd","lm","beta","zoo","2017","tsd",0.09,0.08,3.04,9.4,0,1,-257,520.01,527.88,921.85,100,102,"**"
"lm_beta_zoo_2018_tmean","lm","beta","zoo","2018","tmean",0,-0.01,1.97,0.24,0.63,1,-213.1,432.2,440.08,389.77,100,102,"ns"
"lm_beta_zoo_2018_tsd","lm","beta","zoo","2018","tsd",0.04,0.03,1.93,4.64,0.03,1,-210.91,427.82,435.69,373.36,100,102,"*"
"lm_beta_zoo_mean_tmean","lm","beta","zoo","mean","tmean",0.07,0.06,1.12,7.98,0.01,1,-154.84,315.68,323.56,124.36,100,102,"**"
"lm_beta_zoo_mean_tsd","lm","beta","zoo","mean","tsd",0.14,0.13,1.07,16.43,0,1,-151,307.99,315.87,115.33,100,102,"***"
"lm_gamma_bact_2016_tmean","lm","gamma","bact","2016","tmean",0.12,0.11,48.54,13.46,0,1,-539.73,1085.47,1093.34,235650.74,100,102,"***"
"lm_gamma_bact_2016_tsd","lm","gamma","bact","2016","tsd",0.09,0.09,49.2,10.47,0,1,-541.1,1088.19,1096.07,242028.1,100,102,"**"
"lm_gamma_bact_2017_tmean","lm","gamma","bact","2017","tmean",0.1,0.09,49.01,11.31,0,1,-540.71,1087.41,1095.29,240187.81,100,102,"**"
"lm_gamma_bact_2017_tsd","lm","gamma","bact","2017","tsd",0.6,0.6,32.67,150.56,0,1,-499.33,1004.66,1012.53,106708.28,100,102,"***"
"lm_gamma_bact_2018_tmean","lm","gamma","bact","2018","tmean",0.19,0.18,46.67,22.73,0,1,-535.73,1077.45,1085.33,217844.71,100,102,"***"
"lm_gamma_bact_2018_tsd","lm","gamma","bact","2018","tsd",0.23,0.22,45.32,30.19,0,1,-532.72,1071.44,1079.31,205366.51,100,102,"***"
"lm_gamma_bact_mean_tmean","lm","gamma","bact","mean","tmean",0.14,0.13,48.03,15.89,0,1,-538.65,1083.31,1091.18,230710.84,100,102,"***"
"lm_gamma_bact_mean_tsd","lm","gamma","bact","mean","tsd",0.37,0.36,41.03,58.82,0,1,-522.58,1051.16,1059.04,168344.93,100,102,"***"
"lm_gamma_macro_2016_tmean","lm","gamma","macro","2016","tmean",0,-0.01,10.32,0.05,0.82,1,-381.84,769.68,777.56,10659.24,100,102,"ns"
"lm_gamma_macro_2016_tsd","lm","gamma","macro","2016","tsd",0.46,0.46,7.56,86.58,0,1,-350.06,706.12,713.99,5715.94,100,102,"***"
"lm_gamma_macro_2017_tmean","lm","gamma","macro","2017","tmean",0.03,0.02,10.18,2.81,0.1,1,-380.45,766.91,774.78,10373.2,100,102,"ns"
"lm_gamma_macro_2017_tsd","lm","gamma","macro","2017","tsd",0.47,0.47,7.51,89.03,0,1,-349.39,704.79,712.66,5641.65,100,102,"***"
"lm_gamma_macro_2018_tmean","lm","gamma","macro","2018","tmean",0,-0.01,10.33,0.03,0.87,1,-381.85,769.71,777.58,10661.94,100,102,"ns"
"lm_gamma_macro_2018_tsd","lm","gamma","macro","2018","tsd",0.7,0.69,5.7,228,0,1,-321.29,648.58,656.45,3251.45,100,102,"***"
"lm_gamma_macro_mean_tmean","lm","gamma","macro","mean","tmean",0,-0.01,10.33,0,0.97,1,-381.87,769.73,777.61,10664.48,100,102,"ns"
"lm_gamma_macro_mean_tsd","lm","gamma","macro","mean","tsd",0.59,0.59,6.58,145.96,0,1,-335.97,677.93,685.81,4335.86,100,102,"***"
"lm_gamma_phyto_2016_tmean","lm","gamma","phyto","2016","tmean",0.07,0.06,27.26,7.84,0.01,1,-480.87,967.74,975.61,74303.15,100,102,"**"
"lm_gamma_phyto_2016_tsd","lm","gamma","phyto","2016","tsd",0.82,0.82,12.11,445.98,0,1,-398.15,802.3,810.18,14675.87,100,102,"***"
"lm_gamma_phyto_2017_tmean","lm","gamma","phyto","2017","tmean",0.12,0.11,26.62,13.07,0,1,-478.46,962.91,970.79,70867.56,100,102,"***"
"lm_gamma_phyto_2017_tsd","lm","gamma","phyto","2017","tsd",0.35,0.34,22.8,54.1,0,1,-462.66,931.33,939.2,51997.77,100,102,"***"
"lm_gamma_phyto_2018_tmean","lm","gamma","phyto","2018","tmean",0.05,0.04,27.61,5.09,0.03,1,-482.19,970.37,978.25,76246.84,100,102,"*"
"lm_gamma_phyto_2018_tsd","lm","gamma","phyto","2018","tsd",0.75,0.75,14.18,298.53,0,1,-414.2,834.41,842.28,20105.42,100,102,"***"
"lm_gamma_phyto_mean_tmean","lm","gamma","phyto","mean","tmean",0.06,0.05,27.43,6.51,0.01,1,-481.5,969.01,976.88,75231.7,100,102,"*"
"lm_gamma_phyto_mean_tsd","lm","gamma","phyto","mean","tsd",0.65,0.65,16.68,188.07,0,1,-430.76,867.52,875.39,27815.1,100,102,"***"
"lm_gamma_wc_2016_tmean","lm","gamma","wc","2016","tmean",0.05,0.04,76.16,4.85,0.03,1,-585.67,1177.33,1185.21,579987.58,100,102,"*"
"lm_gamma_wc_2016_tsd","lm","gamma","wc","2016","tsd",0.43,0.42,59.02,74.58,0,1,-559.66,1125.33,1133.2,348322,100,102,"***"
"lm_gamma_wc_2017_tmean","lm","gamma","wc","2017","tmean",0.06,0.05,75.47,6.77,0.01,1,-584.74,1175.48,1183.36,569544.17,100,102,"*"
"lm_gamma_wc_2017_tsd","lm","gamma","wc","2017","tsd",0.68,0.68,44.02,213.87,0,1,-529.75,1065.49,1073.37,193744.56,100,102,"***"
"lm_gamma_wc_2018_tmean","lm","gamma","wc","2018","tmean",0.07,0.06,75.28,7.3,0.01,1,-584.49,1174.97,1182.85,566724.5,100,102,"**"
"lm_gamma_wc_2018_tsd","lm","gamma","wc","2018","tsd",0.6,0.6,49.26,150.59,0,1,-541.23,1088.46,1096.34,242673.2,100,102,"***"
"lm_gamma_wc_mean_tmean","lm","gamma","wc","mean","tmean",0.05,0.04,75.96,5.4,0.02,1,-585.4,1176.8,1184.67,576936.03,100,102,"*"
"lm_gamma_wc_mean_tsd","lm","gamma","wc","mean","tsd",0.67,0.67,44.75,203.66,0,1,-531.44,1068.87,1076.75,200264.17,100,102,"***"
"lm_gamma_zoo_2016_tmean","lm","gamma","zoo","2016","tmean",0.16,0.16,6.48,19.67,0,1,-334.29,674.57,682.45,4195.39,100,102,"***"
"lm_gamma_zoo_2016_tsd","lm","gamma","zoo","2016","tsd",0.26,0.25,6.09,35.46,0,1,-327.97,661.93,669.81,3706.43,100,102,"***"
"lm_gamma_zoo_2017_tmean","lm","gamma","zoo","2017","tmean",0.07,0.06,6.83,7.62,0.01,1,-339.7,685.4,693.28,4665.2,100,102,"**"
"lm_gamma_zoo_2017_tsd","lm","gamma","zoo","2017","tsd",0.2,0.19,6.33,25.43,0,1,-331.89,669.78,677.66,4002.8,100,102,"***"
"lm_gamma_zoo_2018_tmean","lm","gamma","zoo","2018","tmean",0.14,0.13,6.56,16.63,0,1,-335.6,677.2,685.08,4304.93,100,102,"***"
"lm_gamma_zoo_2018_tsd","lm","gamma","zoo","2018","tsd",0.39,0.38,5.54,63.86,0,1,-318.26,642.52,650.39,3064.01,100,102,"***"
"lm_gamma_zoo_mean_tmean","lm","gamma","zoo","mean","tmean",0.15,0.14,6.52,17.98,0,1,-335.01,676.02,683.9,4255.42,100,102,"***"
"lm_gamma_zoo_mean_tsd","lm","gamma","zoo","mean","tsd",0.3,0.29,5.95,42.01,0,1,-325.56,657.12,664.99,3535.38,100,102,"***"
