"group","scale","predictor","year","AIC_linear","BIC_linear","sig_linear","AIC_quad","BIC_quad","sig_quad","delta_AIC","delta_BIC","model_decision"
"wc","beta","tmean","2016",275.68,283.55,"ns",255.74,266.24,"***",19.94,17.31,"quadratic"
"wc","beta","tmean","2017",378.28,386.16,"ns",371.93,382.43,"**",6.35,3.73,"quadratic"
"wc","beta","tmean","2018",351.8,359.67,"ns",353.26,363.76,"ns",-1.46,-4.08,"none"
"wc","beta","tmean","mean",208.36,216.23,"ns",210.21,220.71,"ns",-1.85,-4.48,"none"
"wc","beta","tsd","2016",275.59,283.47,"ns",274.78,285.28,"ns",0.81,-1.81,"none"
"wc","beta","tsd","2017",379.53,387.41,"ns",381.03,391.53,"ns",-1.5,-4.13,"none"
"wc","beta","tsd","2018",351.76,359.64,"ns",353.46,363.96,"ns",-1.7,-4.32,"none"
"wc","beta","tsd","mean",208.42,216.29,"ns",197.1,207.6,"**",11.32,8.69,"quadratic"
"wc","gamma","tmean","2016",1120.37,1128.25,"***",1035,1045.49,"***",85.37,82.75,"quadratic"
"wc","gamma","tmean","2017",1164.02,1171.9,"**",1107.85,1118.35,"***",56.17,53.55,"quadratic"
"wc","gamma","tmean","2018",1061.05,1068.92,"***",1020.71,1031.21,"***",40.34,37.71,"quadratic"
"wc","gamma","tmean","mean",1110.46,1118.34,"ns",1054.05,1064.55,"***",56.41,53.79,"quadratic"
"wc","gamma","tsd","2016",1114.13,1122,"***",1115.92,1126.42,"***",-1.79,-4.42,"linear"
"wc","gamma","tsd","2017",1043.54,1051.42,"***",1008.44,1018.94,"***",35.1,32.48,"quadratic"
"wc","gamma","tsd","2018",1054.37,1062.24,"***",1054.77,1065.27,"***",-0.4,-3.03,"linear"
"wc","gamma","tsd","mean",1012.91,1020.78,"***",961.42,971.92,"***",51.49,48.86,"quadratic"
"zoo","alpha","tmean","2016",539.28,547.15,"ns",537.12,547.62,"ns",2.16,-0.47,"none"
"zoo","alpha","tmean","2017",583.83,591.7,"ns",585.37,595.87,"ns",-1.54,-4.17,"none"
"zoo","alpha","tmean","2018",582.37,590.24,"ns",559.66,570.15,"***",22.71,20.09,"quadratic"
"zoo","alpha","tmean","mean",521.06,528.94,"ns",510.69,521.19,"**",10.37,7.75,"quadratic"
"zoo","alpha","tsd","2016",537.12,545,"ns",516.98,527.48,"***",20.14,17.52,"quadratic"
"zoo","alpha","tsd","2017",557.87,565.75,"***",558.61,569.11,"***",-0.74,-3.36,"linear"
"zoo","alpha","tsd","2018",547.23,555.1,"***",539.24,549.74,"***",7.99,5.37,"quadratic"
"zoo","alpha","tsd","mean",473.37,481.24,"***",470.95,481.45,"***",2.42,-0.2,"quadratic"
"zoo","beta","tmean","2016",356.38,364.25,"*",357.5,368,"ns",-1.12,-3.75,"linear"
"zoo","beta","tmean","2017",370.92,378.79,"ns",372.11,382.61,"ns",-1.19,-3.82,"none"
"zoo","beta","tmean","2018",325.81,333.69,"ns",318.63,329.13,"**",7.18,4.55,"quadratic"
"zoo","beta","tmean","mean",211.11,218.99,"ns",213,223.5,"ns",-1.89,-4.52,"none"
"zoo","beta","tsd","2016",360.91,368.79,"ns",361.75,372.25,"ns",-0.84,-3.47,"none"
